id,K1K2驱动信号,电子锁驱动信号,急停信号,门禁信号,THDV-M,THDI-M,label
1,11.80274085,12.12268082,-0.057439804,12.08962855,11.80961848,11.46839787,1
2,11.81835744,12.13536228,-0.055879424,12.05637347,11.6712588,38.84007404,1
3,11.80274085,12.12109726,-0.060560564,12.03896773,12.16305715,14.7615357,1
4,11.84489669,12.1575451,-0.094914504,12.05955112,10.68286765,16.77236705,1
5,11.81835744,12.12109726,-0.087112604,12.05479113,9.838320578,141.7526417,1
6,11.81835744,12.14011296,-0.083991844,12.06429814,11.39624882,19.98212285,1
7,11.8214782,12.1306116,-0.105849954,12.05955112,10.6943488,12.98490123,1
8,11.81991782,12.12109726,-0.085552224,12.0627158,10.6861387,197.5989462,1
9,11.84957783,12.12586092,-0.090233364,12.04371475,11.51355041,14.36503722,1
10,11.77308084,12.10526166,-0.071496014,12.05320879,10.54595755,24.67518439,1
11,11.80430123,12.12744448,-0.088672984,12.0706275,11.55748236,15.79378832,1
12,11.81835744,12.13219516,-0.088672984,12.06746282,10.31291846,40.44170888,1
13,11.83865517,12.14486364,-0.083991844,12.06113346,10.26293901,26.44805698,1
14,11.81210313,12.11476302,-0.062133734,12.03896773,13.10897593,16.35545272,1
15,11.81210313,12.11793014,-0.077737534,12.07220984,12.19205889,132.5675662,1
16,11.80898237,12.11476302,-0.074616774,12.05796878,11.81946512,20.41659651,1
17,11.81366351,12.13219516,-0.087112604,12.05796878,17.02121564,28.25096825,1
18,11.82303858,12.1496273,-0.077737534,12.06746282,11.17105975,17.84444021,1
19,11.84801745,12.13536228,-0.085552224,12.05479113,10.89193554,23.24185979,1
20,11.82771972,12.15437798,-0.077737534,12.06746282,10.64460404,229.7660177,1
21,11.81366351,12.13694584,-0.069935634,12.05320879,11.12900711,15.45113373,1
22,11.81366351,12.10526166,-0.096474884,12.08171685,12.17040385,15.53025595,1
23,11.80274085,12.12902804,-0.062133734,12.04846177,10.39238252,15.61906075,1
24,11.8292801,12.11793014,-0.079297914,12.05004411,9.616483561,43.74447117,1
25,11.80274085,12.12744448,-0.069935634,12.04687943,11.6520593,21.96549854,1
26,11.80898237,12.1385294,-0.077737534,12.05004411,15.74629323,79.93618548,1
27,11.81523668,12.12268082,-0.038702454,12.07537452,12.42649567,417.8303257,1
28,11.81835744,12.1385294,-0.077737534,12.10546492,15.48184019,27.51479031,1
29,11.79649933,12.13377872,-0.082418674,12.02787838,16.9026695,15.34277601,1
30,11.79493895,12.1306116,-0.076177154,12.05320879,11.12762227,36.14011465,1
31,11.80586161,12.13219516,-0.068375254,12.05320879,9.548181802,15.3292371,1
32,11.80742199,12.12586092,-0.073056394,12.05796878,19.53469843,17.07305053,1
33,11.7918054,12.1385294,-0.077737534,12.04371475,19.62896188,18.80322557,1
34,11.81523668,12.100498,-0.060560564,12.05637347,9.817933403,14.47872727,1
35,11.76682653,12.13694584,-0.069935634,12.05955112,10.41028262,28.32090764,1
36,11.80898237,12.15279442,-0.057439804,12.06588048,12.93166219,23.99153083,1
37,11.81366351,12.13219516,-0.065254494,12.05479113,10.37678547,37.7349057,1
38,11.82771972,12.12586092,-0.044956764,12.05955112,10.73643359,18.14093249,1
39,11.80742199,12.12268082,-0.074616774,12.03580305,10.39595059,61.8873818,1
40,11.76370577,12.11793014,-0.069935634,12.05637347,10.60659075,20.41332097,1
41,11.80898237,12.11476302,-0.085552224,12.07220984,11.70562924,36.23080555,1
42,11.78868464,12.11317946,-0.079297914,12.0627158,11.85384302,12.82013148,1
43,11.81366351,12.1385294,-0.065254494,12.07379218,10.8823773,52.62208688,1
44,11.80586161,12.12902804,-0.094914504,12.06746282,9.8658257,29.59624363,1
45,11.81679706,12.12744448,-0.076177154,12.05320879,12.06239053,14.13074927,1
46,11.78088274,12.1306116,-0.069935634,12.0627158,11.32612492,54.25195051,1
47,11.81835744,12.11001234,-0.069935634,12.06429814,11.02315278,30.87940371,1
48,11.78712426,12.1306116,-0.060560564,12.05004411,15.43634285,22.66302146,1
49,11.80586161,12.1306116,-0.060560564,12.05479113,14.49848909,23.97081967,1
50,11.83396124,12.1306116,-0.068375254,12.08329919,11.4939616,22.16276557,1
51,11.82771972,12.07989874,-0.076177154,12.06588048,10.30580437,22.39741687,1
52,11.80118047,12.12268082,-0.074616774,12.04529709,10.30490112,19.53431018,1
53,11.80586161,12.11001234,-0.069935634,12.06113346,21.29090482,22.35668344,1
54,11.81366351,12.15437798,-0.066814874,12.05162645,9.674645387,26.71426297,1
55,11.81210313,12.17814436,-0.076177154,12.05162645,10.98852064,18.67669805,1
56,11.80430123,12.14169652,-0.068375254,12.06588048,9.617108892,22.25880958,1
57,11.82459896,12.1306116,-0.093354124,12.08488153,11.4344124,23.32100275,1
58,11.81679706,12.11317946,-0.074616774,12.0627158,14.92306571,26.53595618,1
59,11.83084048,12.10526166,-0.079297914,12.06429814,11.68009702,22.55958847,1
60,11.8292801,12.11476302,-0.076177154,12.03580305,11.238426,58.08858078,1
61,11.81054275,12.10842878,-0.119893374,12.06113346,10.99416841,18.6726673,1
62,11.81366351,12.12586092,-0.079297914,12.04213241,10.15592702,14.61102853,1
63,11.8214782,12.13377872,-0.059000184,12.06429814,10.66118181,51.89866638,1
64,11.80898237,12.10208156,-0.035581694,12.08962855,12.08703905,65.97635703,1
65,11.84489669,12.14169652,-0.076177154,12.06588048,14.43719583,22.00658717,1
66,11.80898237,12.1496273,-0.055879424,12.07220984,12.04102415,22.85914702,1
67,11.78712426,12.13219516,-0.069935634,12.08488153,11.00391746,17.29866087,1
68,11.80742199,12.12744448,-0.040262834,12.04846177,13.18925932,22.57949249,1
69,11.77308084,12.12744448,-0.073056394,12.05637347,11.93957782,13.6481637,1
70,11.81523668,12.1195137,-0.044956764,12.05637347,14.89167967,45.98553551,1
71,11.8214782,12.13377872,-0.073056394,12.08646387,9.791932622,46.89207118,1
72,11.83240086,12.11793014,-0.101156024,12.04687943,11.03425231,30.96935837,1
73,11.80430123,12.11634658,-0.076177154,12.05955112,12.59516616,28.07108548,1
74,11.80586161,12.11793014,-0.063694114,12.0627158,9.457883098,122.4860086,1
75,11.81679706,12.12744448,-0.059000184,12.06746282,11.41630398,12.58556346,1
76,11.81210313,12.12426438,-0.085552224,12.06588048,16.45371697,27.04933089,1
77,11.79493895,12.14328008,-0.059000184,12.05479113,9.825514364,45.26754833,1
78,11.79805971,12.1496273,-0.073056394,12.05320879,12.45326781,29.94685982,1
79,11.80586161,12.09733088,-0.063694114,12.06746282,9.95327052,45.84159476,1
80,11.77150767,12.14804374,-0.062133734,12.06113346,10.6029355,25.13917044,1
81,11.81523668,12.11793014,-0.063694114,12.05479113,14.55401795,35.42610163,1
82,11.78556388,12.12426438,-0.074616774,12.05320879,11.11114819,29.85763962,1
83,11.84021555,12.14328008,-0.073056394,12.06588048,9.937989798,49.75590037,1
84,11.80898237,12.12902804,-0.074616774,12.06904516,9.65505397,49.70128083,1
85,11.81210313,12.11793014,-0.087112604,12.10388258,10.30478315,19.75046136,1
86,11.7840035,12.1306116,-0.071496014,12.05796878,9.504479959,100.2915807,1
87,11.81210313,12.13536228,-0.069935634,12.06429814,10.69584013,19.85734555,1
88,11.81210313,12.13377872,-0.057439804,12.06429814,13.74844159,13.80399954,1
89,11.82459896,12.13377872,-0.087112604,12.05479113,11.03303299,52.95445529,1
90,11.81210313,12.15121086,-0.076177154,12.05796878,12.91252114,29.99904657,1
91,11.8292801,12.1306116,-0.055879424,12.0706275,15.58240977,20.12706263,1
92,11.81210313,12.1385294,-0.083991844,12.05955112,36.02076212,32.46948217,1
